event_id,lookback_K,is_control,direction_streak_len,hh_ratio,ll_ratio,atr_pct,bb_width_pct,bb_width_pctile,volume_ratio,volume_zscore,volume_divergence,rsi_level,rsi_slope,macd_hist_slope,hour_of_day_utc,day_of_week,chart_pattern_labels,chart_pattern_confidence,chart_notes
CTRL-019336,240,True,3,0.43,0.48,0.6644,3.49,93.7,1.08,0.07,0,30.8,-44.2,0.5106,15,2,,0,
CTRL-020568,240,True,1,0.48,0.45,0.3636,0.85,16.8,0.63,-0.39,1,56.9,25.2,-0.0725,11,1,,0,
CTRL-020876,240,True,1,0.45,0.47,0.3929,1.26,35.8,0.53,-0.53,0,42.6,21.7,-0.1177,16,4,,0,
CTRL-021184,240,True,1,0.47,0.47,0.229,0.83,82.1,0.29,-0.56,0,53.5,-13.3,-0.2018,21,0,,0,
CTRL-021492,240,True,0,0.47,0.43,0.1768,0.7,21.1,0.36,-0.59,0,73.4,35.0,-0.0656,2,4,,0,
CTRL-022416,240,True,1,0.46,0.44,0.2704,1.64,86.3,6.26,3.38,0,82.1,30.8,0.2204,17,6,,0,
CTRL-022724,240,True,1,0.42,0.45,0.2091,0.59,27.4,0.29,-0.74,0,39.9,4.7,-0.2245,22,2,,0,
CTRL-023032,240,True,0,0.42,0.46,0.2369,0.77,17.9,0.32,-0.57,0,46.6,11.2,0.2985,3,6,,0,
CTRL-024264,240,True,2,0.43,0.47,0.2891,0.93,11.6,0.79,-0.19,1,40.3,-34.5,-0.0572,23,4,,0,
CTRL-026728,240,True,1,0.4,0.48,0.6993,3.04,100.0,2.0,1.0,1,18.3,-1.3,0.337,15,2,,0,
CTRL-027036,240,True,1,0.46,0.43,0.3691,2.33,48.4,0.18,-0.61,0,16.5,-45.7,0.2467,20,5,,0,
CTRL-027652,240,True,1,0.47,0.44,0.2685,0.92,10.5,1.28,0.25,0,58.0,20.7,-0.2082,6,5,,0,
CTRL-027960,240,True,3,0.43,0.5,0.2866,0.74,17.9,0.22,-0.5,0,60.6,30.0,-0.0006,11,1,,0,
CTRL-028268,240,True,0,0.48,0.44,0.4772,1.22,46.3,0.77,-0.26,0,47.4,1.4,0.1535,16,4,,0,
CTRL-029192,240,True,2,0.47,0.47,0.4289,2.33,100.0,2.04,1.29,0,28.6,-18.5,0.7169,7,0,,0,
CTRL-029500,240,True,0,0.44,0.44,0.2024,0.95,43.2,1.11,0.13,0,35.1,1.7,-0.4503,12,3,,0,
CTRL-030116,240,True,3,0.44,0.48,0.5598,2.61,65.3,0.74,-0.32,1,41.6,-24.2,0.8016,22,2,,0,
CTRL-030424,240,True,0,0.45,0.45,0.3435,2.75,100.0,0.94,-0.05,1,84.8,63.6,-0.3936,3,6,,0,
